patch,freq_start,freq_end,time_start,time_end,importance
1,48,56,48,60,0.018687768860540167
3,40,48,48,60,0.01644386792423858
0,8,16,0,12,0.016388028063377216
3,0,8,36,48,0.015578854485043675
2,48,56,24,36,0.014690226392162158
3,8,16,12,24,0.012799190280545807
2,32,40,36,48,0.012345997376348342
1,8,16,72,84,0.012249985550290955
3,8,16,84,96,0.0120875675838942
3,32,40,72,84,0.01198421660634754
3,48,56,48,60,0.011882558748579852
4,0,8,72,84,0.011724166647996005
2,40,48,72,84,0.011696505848418828
4,0,8,48,60,0.011638601767476482
1,48,56,0,12,0.011543024669159387
1,56,64,72,84,0.011535887284507646
2,8,16,36,48,0.01116681088270191
0,56,64,60,72,0.010929740736267577
2,16,24,72,84,0.010811064610415906
2,56,64,24,36,0.010745057084700664
0,8,16,60,72,0.01065332046707873
1,0,8,84,96,0.010586656861379835
3,56,64,84,96,0.009926019420248278
4,16,24,12,24,0.00988826940198711
4,16,24,48,60,0.009847510196829383
3,24,32,0,12,0.00963391436893379
4,16,24,60,72,0.009580099392401644
0,24,32,60,72,0.00951317346752301
0,16,24,24,36,0.00949896888258725
3,8,16,0,12,0.00945021654669429
0,8,16,12,24,0.009425017606614947
0,32,40,48,60,0.009361123087986254
4,16,24,36,48,0.009261251783236168
3,16,24,24,36,0.009221445845811995
2,32,40,84,96,0.00913678420391105
0,40,48,84,96,0.008942314622403486
0,24,32,72,84,0.008927016104433815
1,24,32,24,36,0.008901396402837696
1,0,8,24,36,0.00866456610157898
2,32,40,24,36,0.008251623393073976
0,8,16,72,84,0.008149322893581015
4,0,8,24,36,0.00803224342845346
2,8,16,84,96,0.00800321738374135
1,16,24,72,84,0.007998504597625352
0,48,56,84,96,0.007974302143185565
3,16,24,0,12,0.00787195324804742
0,40,48,48,60,0.007827479000385676
1,8,16,36,48,0.007657980320176529
2,24,32,24,36,0.007426985651339309
4,40,48,60,72,0.007419511589101332
