patch,freq_start,freq_end,time_start,time_end,importance
3,0,8,36,48,0.018206829392495186
2,32,40,36,48,0.01734578300701927
3,24,32,0,12,0.0170551606990776
3,16,24,24,36,0.016997782388647614
2,0,8,12,24,0.016119090243246703
3,56,64,84,96,0.016104186504926146
0,56,64,48,60,0.01580749343037416
1,16,24,72,84,0.015537035035977025
1,24,32,12,24,0.015452212024469234
0,24,32,60,72,0.01507840709459426
3,8,16,84,96,0.014736800089198972
2,48,56,24,36,0.014646060756271624
0,32,40,84,96,0.014599160007865217
3,48,56,84,96,0.014249844812902965
3,32,40,12,24,0.013806867756524068
1,0,8,0,12,0.013583010389690175
4,48,56,36,48,0.013499118340785054
4,16,24,48,60,0.013493977216648951
1,8,16,36,48,0.013044221967076886
4,56,64,72,84,0.012817438962533685
4,0,8,48,60,0.012805876004585121
0,8,16,72,84,0.012223357335464655
1,8,16,48,60,0.011656062895025712
1,56,64,12,24,0.011604658347921635
1,0,8,36,48,0.011230113728534986
3,8,16,0,12,0.010399148264317464
0,0,8,0,12,0.010392480980852178
2,40,48,72,84,0.010378147521363852
2,48,56,48,60,0.010354876957967192
4,32,40,36,48,0.010300002928297029
1,8,16,0,12,0.0102760052711438
1,40,48,84,96,0.010195549029206209
3,16,24,84,96,0.010104482271741533
3,32,40,72,84,0.009929449968605881
3,8,16,12,24,0.009625835775653659
4,8,16,72,84,0.009600215071273966
0,8,16,60,72,0.009573568144889421
0,56,64,60,72,0.009522828794874729
1,16,24,84,96,0.00951443870435196
1,48,56,0,12,0.00930450485768309
3,24,32,84,96,0.009284145317590009
1,40,48,36,48,0.009247541889245287
3,16,24,60,72,0.009166369053228837
3,32,40,84,96,0.008955776761461627
4,0,8,0,12,0.008825893623691442
1,24,32,24,36,0.008821416129616764
1,48,56,48,60,0.008679215389545233
2,56,64,24,36,0.008492759726406647
4,16,24,60,72,0.008449090162579309
2,32,40,0,12,0.008209005907719134
