method_a,method_b,mean_iou_top20
gradcam,integrated_gradients,0.21135001718715593
gradcam,occlusion,0.20018242063561173
gradcam,lime,0.10155410033009445
gradcam,saliency,0.23148614935374848
gradcam,smoothgrad,0.26554997479017295
gradcam,input_x_gradient,0.20657931247515293
gradcam,guided_backprop,0.2050669823180783
integrated_gradients,occlusion,0.5068955592282458
integrated_gradients,lime,0.1533041445698717
integrated_gradients,saliency,0.29641403316872517
integrated_gradients,smoothgrad,0.21797961307635066
integrated_gradients,input_x_gradient,0.6649089587427086
integrated_gradients,guided_backprop,0.19544012752685036
occlusion,lime,0.15957034823288108
occlusion,saliency,0.16623709561401487
occlusion,smoothgrad,0.160356410002808
occlusion,input_x_gradient,0.5040357161807029
occlusion,guided_backprop,0.15944942752797925
lime,saliency,0.10626144771861142
lime,smoothgrad,0.1087710814817773
lime,input_x_gradient,0.15228197600084817
lime,guided_backprop,0.11263796323759515
saliency,smoothgrad,0.27289084347134596
saliency,input_x_gradient,0.5279052517490666
saliency,guided_backprop,0.19172044004458721
smoothgrad,input_x_gradient,0.22532329498191744
smoothgrad,guided_backprop,0.19567819176474024
input_x_gradient,guided_backprop,0.19686877590241256
